NEGERI,PPD,PARLIMEN,DUN,PERINGKAT,JENIS/LABEL,KODSEKOLAH,NAMASEKOLAH,ALAMATSURAT,POSKODSURAT,BANDARSURAT,NOTELEFON,NOFAX,EMAIL,LOKASI,GRED,BANTUAN,BILSESI,SESI,ENROLMEN PRASEKOLAH,ENROLMEN,ENROLMEN KHAS,GURU,PRASEKOLAH,INTEGRASI,KOORDINATXX,KOORDINATYY,SKM<=150
PERAK,PPD KINTA SELATAN, KAMPAR, TUALANG SEKAH,Rendah,SK,ABA9002,SEKOLAH KEBANGSAAN GUNUNG PANJANG,KG. GUNUNG PANJANG,31600,GOPENG,53593317,53593317,ABA9002@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,26,136,,19,ADA,TIADA,101.166088,4.429280458,YA
PERAK,PPD KINTA SELATAN, KAMPAR, TUALANG SEKAH,Rendah,SK,ABA9003,SEKOLAH KEBANGSAAN KOTA BAHARU,JALAN DATUK SETIA,31610,GOPENG,122441542,TIADA,ABA9003@moe.edu.my,Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,0,48,,12,TIADA,TIADA,101.0778278,4.398052048,YA
PERAK,PPD KINTA SELATAN, KAMPAR, TUALANG SEKAH,Rendah,SK,ABA9004,SEKOLAH KEBANGSAAN TUALANG SEKAH,JALAN MALIM NAWAR,31700,MALIM NAWAR,54775145,54775145,ABA9004@moe.edu.my,Bandar,B,SK,2 Sesi,Pagi dan Petang,57,351,,40,ADA,TIADA,101.1277877,4.363245125,
PERAK,PPD KINTA SELATAN, KAMPAR, KERANJI,Rendah,SK,ABA9005,SEKOLAH KEBANGSAAN MALIM NAWAR,KAMPUNG CHANGKAT BARU,31700,MALIM NAWAR,54775506,54775506,ABA9005@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,21,150,,18,ADA,TIADA,101.1077755,4.34941327,YA
PERAK,PPD KINTA SELATAN, KAMPAR, TUALANG SEKAH,Rendah,SK,ABA9006,SEKOLAH KEBANGSAAN KUALA DIPANG,KUALA DIPANG,31850,JERAM,54775632,54775632,ABA9006@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,15,206,,25,ADA,TIADA,101.159715,4.382029,
PERAK,PPD KINTA SELATAN, KAMPAR, TUALANG SEKAH,Rendah,SK,ABA9007,SEKOLAH KEBANGSAAN SAHOM,JLN CHENDERIANG,31920,KAMPAR,TIADA,TIADA,ABA9007@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,20,148,,17,ADA,TIADA,101.2265,4.369421,YA
PERAK,PPD KINTA SELATAN, KAMPAR, MALIM NAWAR,Rendah,SK,ABA9008,SEKOLAH KEBANGSAAN KAMPAR,192 JLN BUKIT,31900,KAMPAR,54651237,54651237,ABA9008@moe.edu.my,Bandar,B,SK,2 Sesi,Pagi dan Petang,0,242,37,36,TIADA,ADA,101.151567,4.316724,
PERAK,PPD KINTA SELATAN, KAMPAR, MALIM NAWAR,Rendah,SK,ABA9009,SEKOLAH KEBANGSAAN BUKIT PEKAN,JALAN KG. BUKIT PEKAN,31910,KAMPAR,54660980,54660980,ABA9009@moe.edu.my,Luar Bandar,C,SK,1 Sesi,Pagi Sahaja,14,77,,15,ADA,TIADA,101.0853352,4.257693922,YA
PERAK,PPD KINTA SELATAN, KAMPAR, MALIM NAWAR,Rendah,SK,ABA9010,SEKOLAH KEBANGSAAN AIR HITAM LABU,WAKIL POS TRONOH MINES,31910,KAMPAR,54667098,54667098,ABA9010@moe.edu.my,Luar Bandar,SKM B,SK,1 Sesi,Pagi Sahaja,0,199,,14,TIADA,TIADA,101.11629,4.278687,
PERAK,PPD KINTA SELATAN, GOPENG, TEJA,Rendah,SK,ABA9011,SEKOLAH KEBANGSAAN SUNGAI ITEK,JALAN DUSUN SERIBU,31600,GOPENG,TIADA,TIADA,ABA9011@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,0,154,,16,TIADA,TIADA,101.183721,4.456085,
PERAK,PPD KINTA SELATAN, GOPENG, TEJA,Rendah,SK,ABA9012,SEKOLAH KEBANGSAAN ULU GERUNTUM,JALAN ULU GERUNTUM,31600,GOPENG,TIADA,TIADA,ABA9012@moe.edu.my,Luar Bandar,C,SK,1 Sesi,Pagi Sahaja,5,101,,17,ADA,TIADA,101.221245,4.465366,
PERAK,PPD KINTA SELATAN, KAMPAR, TUALANG SEKAH,Rendah,SK,ABA9014,SEKOLAH KEBANGSAAN POS DIPANG,SAHOM,31920,KAMPAR,TIADA,TIADA,ABA9014@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,0,87,,13,TIADA,TIADA,101.247328,4.371563,
PERAK,PPD KINTA SELATAN, KAMPAR, KERANJI,Rendah,SK,ABA9015,SEKOLAH KEBANGSAAN SENTOSA,TAMAN BANDAR BARU,31900,KAMPAR,54669587,54669587,ABA9015@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,55,486,38,50,ADA,ADA,101.139492,4.328407,
PERAK,PPD KINTA SELATAN, KAMPAR, KERANJI,Rendah,SK,ABA9016,SEKOLAH KEBANGSAAN CHANGKAT TUALANG,"KG. CHANGKAT TUALANG, KOTA BAHRU ",31610,GOPENG ,54690014,TIADA,ABA9016@moe.edu.my,Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,9,46,,13,ADA,TIADA,101.0877837,4.425209997,YA
PERAK,PPD MUALLIM, TANJONG MALIM, SLIM,Rendah,SK,ABAA001,SEKOLAH KEBANGSAAN AMINUDIN BAKI,JALAN STESEN,35800,SLIM RIVER,54520650,TIADA,ABAA001@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,55,342,48,44,ADA,ADA,101.4044676,3.82767797,
PERAK,PPD MUALLIM, TANJONG MALIM, BEHRANG,Rendah,SK,ABAA002,SEKOLAH KEBANGSAAN BALUN,KG. BALUN,35820,SLIM RIVER,54527044,54527044,ABAA002@moe.edu.my,Bandar,C,SK,1 Sesi,Pagi Sahaja,23,133,,17,ADA,TIADA,101.4238105,3.827770558,YA
PERAK,PPD MUALLIM, TANJONG MALIM, BEHRANG,Rendah,SK,ABAA003,SEKOLAH KEBANGSAAN DATUK NAN KAYA,KAMPONG KELAWAR,35900,TANJONG MALIM,TIADA,TIADA,ABAA003@moe.edu.my,Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,0,66,,12,TIADA,TIADA,101.4818364,3.710831856,YA
PERAK,PPD MUALLIM, TANJONG MALIM, BEHRANG,Rendah,SK,ABAA004,SEKOLAH KEBANGSAAN ULU SLIM,KG. ULU SLIM,35800,SLIM RIVER,TIADA,TIADA,ABAA004@moe.edu.my,Luar Bandar,C,SK,1 Sesi,Pagi Sahaja,16,79,,17,ADA,TIADA,101.497456,3.897424,YA
PERAK,PPD MUALLIM, TANJONG MALIM, SLIM,Rendah,SK,ABAA005,SEKOLAH KEBANGSAAN KUALA SLIM,KG. KUALA SLIM,35800,SLIM RIVER,54520072,54520072,ABAA005@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,18,154,,18,ADA,TIADA,101.3632925,3.807811558,
PERAK,PPD MUALLIM, TANJONG MALIM, BEHRANG,Rendah,SK,ABAA006,SEKOLAH KEBANGSAAN TANJONG MALIM,JALAN KETOYONG,35900,TANJONG MALIM,54595694,54585924,ABAA006@moe.edu.my,Bandar,A,SK,1 Sesi,Pagi Sahaja,84,858,80,75,ADA,ADA,101.5147553,3.694304529,
PERAK,PPD MUALLIM, TANJONG MALIM, BEHRANG,Rendah,SK,ABAA007,SEKOLAH KEBANGSAAN BEHRANG,"BATU 8, BEHRANG ULU",35950,BEHRANG STESEN,TIADA,TIADA,ABAA007@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,19,165,28,26,ADA,ADA,101.499392,3.777975,
PERAK,PPD MUALLIM, TANJONG MALIM, BEHRANG,Rendah,SK,ABAA008,SEKOLAH KEBANGSAAN SLIM VILLAGE,KAMPUNG SLIM,35800,SLIM RIVER,54527387,54527387,ABAA008@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,50,261,19,33,ADA,ADA,101.4716819,3.850417817,
PERAK,PPD MUALLIM, TANJONG MALIM, BEHRANG,Rendah,SK,ABAA009,SEKOLAH KEBANGSAAN DATO KAMARUDDIN,JALAN KAMPUNG PAUH,35950,BEHRANG STESEN,54544218,54544218,ABAA009@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,24,150,,17,ADA,TIADA,101.4523506,3.747120004,YA
PERAK,PPD MUALLIM, TANJONG MALIM, BEHRANG,Rendah,SK,ABAA010,SEKOLAH KEBANGSAAN SUNGAI BEHRANG,FELDA SUNGAI BEHRANG,35820,SLIM RIVER,54542679,54542679,ABAA010@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,48,298,,30,ADA,TIADA,101.4594925,3.779742562,
PERAK,PPD MUALLIM, TANJONG MALIM, BEHRANG,Rendah,K9,ABAA011,SEKOLAH KEBANGSAAN POS BERSIH,ULU SLIM,35800,SLIM RIVER,TIADA,TIADA,ABAA011@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,27,229,,24,ADA,TIADA,101.508109,3.932278,
PERAK,PPD MUALLIM, TANJONG MALIM, BEHRANG,Rendah,SK,ABAA012,SEKOLAH KEBANGSAAN POS TENAU,ULU SLIM,35800,SLIM RIVER,TIADA,TIADA,ABAA012@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,12,57,,12,ADA,TIADA,101.540034,4.0711,
PERAK,PPD MUALLIM, TANJONG MALIM, BEHRANG,Rendah,SK,ABAA013,SEKOLAH KEBANGSAAN PROTON CITY,BANDAR PROTON,35900,TANJONG MALIM,54581128,54581129,ABAA013@moe.edu.my,Bandar,A,SK,1 Sesi,Pagi Sahaja,75,1014,,69,ADA,TIADA,101.537677,3.744439,
PERAK,PPD MUALLIM, TANJONG MALIM, BEHRANG,Rendah,SK,ABAA014,SEKOLAH KEBANGSAAN BANDAR BEHRANG 2020,JALAN WAWASAN MESRA,35900,TANJONG MALIM,54583435,54583439,ABAA014@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,50,632,38,50,ADA,ADA,101.4780253,3.729424226,
PERAK,PPD MUALLIM, TANJONG MALIM, BEHRANG,Rendah,SK,ABAA015,SEKOLAH KEBANGSAAN TROLAK TIMUR,FELDA TROLAK TIMUR,35700,TROLAK,54323451,54323451,ABAA015@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,43,202,,21,ADA,TIADA,101.415223,3.939607,
PERAK,PPD MUALLIM, TANJONG MALIM, SLIM,Rendah,SK,ABAA016,SEKOLAH KEBANGSAAN BESOUT 5,FELDA GUNUNG BESOUT 5,35600,SUNGKAI,TIADA,TIADA,ABAA016@moe.edu.my,Luar Bandar,C,SK,1 Sesi,Pagi Sahaja,25,64,,16,ADA,TIADA,101.29667,3.717987,YA
PERAK,PPD MUALLIM, TANJONG MALIM, SLIM,Rendah,SK,ABAA017,SEKOLAH KEBANGSAAN BESOUT 4,FELDA BESOUT 4,35600,SUNGKAI,TIADA,TIADA,ABAA017@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,25,122,,18,ADA,TIADA,101.275936,3.782196113,YA
PERAK,PPD BAGAN DATUK, PASIR SALAK, SUNGAI MANIK,Rendah,SK,ABAB001,SEKOLAH KEBANGSAAN TAPAK SEMENANG,"KAMPONG TAPAK SEMENANG, MUKIM TELUK BHARU",36000,TELUK INTAN,56237109,56214379,abab001@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,9,23,,9,ADA,TIADA,100.948417,3.95364,YA
PERAK,PPD BAGAN DATUK, PASIR SALAK, KAMPONG GAJAH,Rendah,SK,ABAB002,SEKOLAH KEBANGSAAN SERI BARU,KAMPUNG LADANG BARU,36000,TELUK INTAN,56223485,56223485,ABA5011@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,16,93,,14,ADA,TIADA,100.91512,3.965381,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, RUNGKUP,Rendah,SK,ABAB003,SEKOLAH KEBANGSAAN SUNGAI BETUL,"SUNGAI BETUL, JALAN RUNGKUP KECIL KE BAGAN DATOH",36100,BAGAN DATOH,56466204,56466204,ABA5013@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,0,31,,8,TIADA,TIADA,100.716,3.978967,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, HUTAN MELINTANG,Rendah,SK,ABAB004,SEKOLAH KEBANGSAAN SUNGAI BULOH,BATU 9,36400,HUTAN MELINTANG,56416252,56412876,abab004@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,49,162,18,26,ADA,ADA,100.950324,3.921728,
PERAK,PPD BAGAN DATUK, BAGAN DATUK, HUTAN MELINTANG,Rendah,SK,ABAB005,SEKOLAH KEBANGSAAN BAGAN PASIR,KM32 JALAN BAGAN DATOH,36200,SELEKOH,56480201,56480093,ABAB005@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,24,128,,19,ADA,TIADA,100.816883,3.889383,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, HUTAN MELINTANG,Rendah,SK,ABAB006,SEKOLAH KEBANGSAAN SUNGAI SUMUN,"PARIT 7, KAMPUNG SUNGAI SUMUN",36300,SUNGAI SUMUN,56489678,56480532,ABA5032@moe.edu.my,Bandar,C,SK,1 Sesi,Pagi Sahaja,8,54,,16,ADA,TIADA,100.85305,3.876658,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, HUTAN MELINTANG,Rendah,SK,ABAB007,SEKOLAH KEBANGSAAN SUNGAI PULAU,SUNGAI PULAU,36400,HUTAN MELINTANG,56418976,56412482,abab007@moe.edu.my,Bandar,C,SK,1 Sesi,Pagi Sahaja,11,73,,16,ADA,TIADA,100.884384,3.867839,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, HUTAN MELINTANG,Rendah,SK,ABAB008,SEKOLAH KEBANGSAAN TANJONG BAYAN,PARIT 23  TANJONG BAYAN,36400,HUTAN MELINTANG,56412072,56412454,ABAB008@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,43,183,,23,ADA,TIADA,100.910104,3.880288,
PERAK,PPD BAGAN DATUK, BAGAN DATUK, HUTAN MELINTANG,Rendah,SK,ABAB009,SEKOLAH KEBANGSAAN HUTAN MELINTANG,JALAN BESAR HUTAN MELINTANG,36400,HUTAN MELINTANG,56412889,56412075,ABA5035@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,33,193,29,37,ADA,ADA,100.936207,3.879889,
PERAK,PPD BAGAN DATUK, BAGAN DATUK, HUTAN MELINTANG,Rendah,SK,ABAB010,SEKOLAH KEBANGSAAN KAMPUNG BAHARU,JALAN BATU 16  SUNGAI DULANG,36300,SUNGAI SUMUN,56487372,56480553,ABA5037@moe.edu.my,Bandar,C,SK,1 Sesi,Pagi Sahaja,6,101,,16,ADA,TIADA,100.87685,3.910154,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, HUTAN MELINTANG,Rendah,SK,ABAB011,SEKOLAH KEBANGSAAN TANAH LALANG,KAMPUNG TANAH LALANG,36100,BAGAN DATOH,56487376,56480546,ABAB011@moe.edu.my,Bandar,C,SK,1 Sesi,Pagi Sahaja,21,81,,17,ADA,TIADA,100.858837,3.949882,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, HUTAN MELINTANG,Rendah,SK,ABAB012,SEKOLAH KEBANGSAAN SUNGAI DULANG DALAM,JALAN HAJI ABU BAKAR,36300,SUNGAI SUMUN,56411939,56412475,ABA5039@moe.edu.my,Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,17,60,,13,ADA,TIADA,100.8860341,3.936677328,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, HUTAN MELINTANG,Rendah,SK,ABAB013,SEKOLAH KEBANGSAAN TEBING REBAK,KG. TEBING REBAK,36300,TELUK INTAN,TIADA,TIADA,ABAB013@moe.edu.my,Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,0,8,,8,TIADA,TIADA,100.901276,3.951107,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, HUTAN MELINTANG,Rendah,SK,ABAB014,SEKOLAH KEBANGSAAN TELUK BULOH,JALAN KG KOTA OFF JALAN SABAK BERNAM,36400,HUTAN MELINTANG,56413749,56412463,ABA5041@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,25,192,,22,ADA,TIADA,100.981297,3.811406,
PERAK,PPD BAGAN DATUK, BAGAN DATUK, HUTAN MELINTANG,Rendah,SK,ABAB015,SEKOLAH KEBANGSAAN SUNGAI KELI,KG. SUNGAI KELI,36400,HUTAN MELINTANG,56411007,56412473,ABAB015@moe.edu.my,Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,14,57,,13,ADA,TIADA,100.979025,3.775066,YA
PERAK,PPD BAGAN DATUK, TELUK INTAN, CHANGKAT JONG,Rendah,SK,ABAB016,SEKOLAH KEBANGSAAN SUNGAI SAMAK,KAMPUNG SUNGAI SAMAK,36400,HUTAN MELINTANG,56416554,56412453,ABA5043@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,35,184,10,22,ADA,ADA,101.087685,3.785539,
PERAK,PPD BAGAN DATUK, TELUK INTAN, CHANGKAT JONG,Rendah,SK,ABAB017,SEKOLAH KEBANGSAAN ULU BERNAM,LADANG ULU BERNAM,36500,ULU BERNAM,56366482,56366014,sekolah-530@moe-dl.edu.my,Luar Bandar,C,SK,1 Sesi,Pagi Sahaja,19,65,,18,ADA,TIADA,101.148988,3.744721,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, RUNGKUP,Rendah,SK,ABAB018,SEKOLAH KEBANGSAAN BAGAN DATOH,"KM 1, JALAN BAGAN DATOH",36100,BAGAN DATOH,56466755,56466754,ABAB018@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,45,173,,20,ADA,TIADA,100.7871112,3.984071635,
PERAK,PPD BAGAN DATUK, BAGAN DATUK, RUNGKUP,Rendah,SK,ABAB019,SEKOLAH KEBANGSAAN SUNGAI NIPAH,KG SUNGAI NIPAH BAROH,36100,BAGAN DATUK,56466243,56466048, abab019@moe.edu.my,Luar Bandar,C,SK,1 Sesi,Pagi Sahaja,11,58,,16,ADA,TIADA,100.74467,3.982853,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, RUNGKUP,Rendah,SK,ABAB020,SEKOLAH KEBANGSAAN MATANG KUNDA,BT 26 JLN BGN DATOH BLKG SMA IRSYADIAH,36100,BAGAN DATOH,56466035,56466035,ABAB020@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,0,21,,8,TIADA,TIADA,100.765953,3.959667,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, RUNGKUP,Rendah,SK,ABAB021,SEKOLAH KEBANGSAAN SUNGAI PERGAM,"KAMPUNG PARIT 5, SUNGAI PERGAM",36100,BAGAN DATOH,56466259,TIADA,abab021@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,0,32,,11,TIADA,TIADA,100.805833,3.959995,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, RUNGKUP,Rendah,SK,ABAB022,SEKOLAH KEBANGSAAN SIMPANG TIGA,JALAN BAGAN DATOH,36100,BAGAN DATOH,56466130,56466227,abab022@moe.edu.my,Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,24,84,41,27,ADA,ADA,100.777534,3.933373,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, RUNGKUP,Rendah,SK,ABAB023,SEKOLAH KEBANGSAAN SUNGAI BALAI,JALAN RUNGKUP,36200,SELEKOH,56466602,56466229,ABA5050@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,16,81,,13,ADA,TIADA,100.731583,3.951598,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, RUNGKUP,Rendah,SK,ABAB024,SEKOLAH KEBANGSAAN RUNGKUP,"SIMPANG 4, JALAN RUNGKUP",36200,SELEKOH,56467688,TIADA,ABAB024@moe.edu.my,Luar Bandar,C,SK,1 Sesi,Pagi Sahaja,19,71,21,22,ADA,ADA,100.714878,3.948831,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, RUNGKUP,Rendah,SK,ABAB025,SEKOLAH KEBANGSAAN SUNGAI TIANG BAROH,"KAMPUNG SUNGAI TIANG BAROH, JALAN SG TG BAROH",36200,SELEKOH,56489940,56480541,ABA5052@moe.edu.my,Luar Bandar,C,SK,1 Sesi,Pagi Sahaja,7,73,,16,ADA,TIADA,100.718833,3.905856,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, RUNGKUP,Rendah,SK,ABAB026,SEKOLAH KEBANGSAAN SUNGAI TIANG DARAT,JALAN BARU SUNGAI TIANG,36200,SELEKOH,56487541,TIADA,ABA5053@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,13,127,,18,ADA,TIADA,100.748207,3.916192,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, RUNGKUP,Rendah,SK,ABAB027,SEKOLAH KEBANGSAAN SELEKOH,"BATU 23, JALAN BAGAN DATOH",36200,SELEKOH,56487987,56480535,ABA5054@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,22,144,,18,ADA,TIADA,100.775047,3.910233,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, RUNGKUP,Rendah,SK,ABAB028,SEKOLAH KEBANGSAAN SUNGAI BATANG,KG.SG.BATANG,36200,SELEKOH,56488342,56480536,ABA5055@moe.edu.my,Bandar,C,SK,1 Sesi,Pagi Sahaja,12,71,,16,ADA,TIADA,100.788351,3.879985,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, RUNGKUP,Rendah,SK,ABAB029,SEKOLAH KEBANGSAAN SUNGAI HAJI MUHAMMAD,KM 2 JLN SG HAJI MUHAMMAD,36200,SELEKOH,56489777,56480566,ABA5056@moe.edu.my,Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,0,20,,11,TIADA,TIADA,100.773485,3.891243,YA
PERAK,PPD BAGAN DATUK, BAGAN DATUK, HUTAN MELINTANG,Rendah,SK,ABAB030,SEKOLAH KEBANGSAAN SIMPANG EMPAT,JALAN BAGAN DATOH,36400,HUTAN MELINTANG,56418336,56412460,ABA5076@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,50,328,,32,ADA,TIADA,100.927127,3.893352,
PERAK,PPD BATANG PADANG, TAPAH, CHENDERIANG,Rendah,SK,ABB0045,SEKOLAH KEBANGSAAN SATU,JALAN HOSPITAL,35000,TAPAH,54030436,54018354,ABB0045@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,48,374,,39,ADA,TIADA,101.2604733,4.200311713,
PERAK,PPD BATANG PADANG, TAPAH, CHENDERIANG,Rendah,SK,ABB0046,SEKOLAH KEBANGSAAN DATUK KELANA,JALAN PAHANG,35000,TAPAH,54011441,54011441,ABB0046@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,73,361,40,47,ADA,ADA,101.2690863,4.211285721,
PERAK,PPD BATANG PADANG, TANJONG MALIM, SUNGKAI,Rendah,SK,ABB0047,SEKOLAH KEBANGSAAN SERI BIDOR,JALAN PERSATUAN,35500,BIDOR,54341568,54341568,ABB0047@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,50,359,,33,ADA,TIADA,101.2874047,4.113760129,
PERAK,PPD MANJUNG, BERUAS, PENGKALAN BAHARU,Rendah,SK,ABB1039,SEKOLAH KEBANGSAAN METHODIST (ACS),JALAN LIN CHEN MEI,32000,SITIAWAN,56911160,TIADA,ABB1039@moe.edu.my,Bandar,A,SBK,2 Sesi,Pagi dan Petang,0,928,,70,TIADA,TIADA,100.7017978,4.19675948,
PERAK,PPD MANJUNG, LUMUT, PANGKOR,Rendah,SK,ABB1040,SEKOLAH KEBANGSAAN METHODIST (ACS),JALAN PEGAWAI,32200,LUMUT,56835389,56833925,ABB1040@moe.edu.my,Luar Bandar,B,SBK,1 Sesi,Pagi Sahaja,0,329,,28,TIADA,TIADA,100.6325638,4.233868966,
PERAK,PPD MANJUNG, BERUAS, PANTAI REMIS,Rendah,SK,ABB1041,SEKOLAH KEBANGSAAN METHODIST,JALAN BESAR,32400,AYER TAWAR,56722142,56722142,ABB1041@moe.edu.my,Bandar,B,SBK,1 Sesi,Pagi Sahaja,0,340,,32,TIADA,TIADA,100.7623328,4.306503055,
PERAK,PPD MANJUNG, BERUAS, PENGKALAN BAHARU,Rendah,SK,ABB1042,SEKOLAH KEBANGSAAN CONVENT,JALAN RAJA OMAR,32000,SITIAWAN,56911570,56911570,ABB1042@moe.edu.my,Bandar,B,SBK,2 Sesi,Pagi dan Petang,0,351,,31,TIADA,TIADA,100.6985366,4.208158416,
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABB1043,SEKOLAH KEBANGSAAN SERI SERDANG,LADANG SITIAWAN,32000,SITIAWAN,56911246,56917789,ABB1043@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,50,606,,41,ADA,TIADA,100.6855345,4.216090738,
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABB1044,SEKOLAH KEBANGSAAN ST. FRANCIS,JALAN RAJA OMAR,32000,SITIAWAN,56911101,56911101,ABB1044@moe.edu.my,Bandar,B,SBK,1 Sesi,Pagi Sahaja,0,250,,28,TIADA,TIADA,100.696827,4.207095,
PERAK,PPD MANJUNG, BERUAS, PENGKALAN BAHARU,Rendah,SK,ABB1045,SEKOLAH KEBANGSAAN GANGGA,JALAN PARIT BERUAS,32700,BERUAS,56748872,56748872,ABB1045@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,14,127,44,27,ADA,ADA,100.7854445,4.497233227,YA
PERAK,PPD KINTA UTARA, IPOH BARAT, KEPAYANG,Rendah,SK,ABB2075,SEKOLAH KEBANGSAAN SRI KINTA,JALAN HOSPITAL,30450,IPOH,55462105,55496251,ABB2075@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,49,377,14,40,ADA,ADA,101.0985069,4.602528822,
PERAK,PPD KINTA UTARA, IPOH BARAT, KEPAYANG,Rendah,SK,ABB2076,SEKOLAH KEBANGSAAN CATOR AVENUE,LEBUH CATOR,30450,IPOH,52496678,52496676,ABB2076@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,25,640,,58,ADA,TIADA,101.090094,4.605052,
PERAK,PPD KINTA UTARA, IPOH TIMOR, PASIR PINJI,Rendah,SK,ABB2077,SEKOLAH KEBANGSAAN RAJA DIHILIR EKRAM,JALAN PASIR PUTEH,31650,IPOH,52435455,52435455,ABB2077@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,21,140,33,26,ADA,ADA,101.080213,4.57911,YA
PERAK,PPD KINTA UTARA, IPOH TIMOR, TEBING TINGGI,Rendah,SK,ABB2078,SEKOLAH KEBANGSAAN METHODIST (ACS),JALAN LAHAT,30200,IPOH,52545307,52411098,ABB2078@moe.edu.my,Bandar,B,SBK,2 Sesi,Pagi dan Petang,0,445,,39,TIADA,TIADA,101.07194,4.591784,
